"","ACTG2","ADH1B","CEACAM5","CLDN2","CNN1","DES","DPEP1","LCN2","MYH11","S100P","SYNM"
"TCGA-A6-5661-01",8.91214984035726,3.89946568745449,16.5175694367076,12.6016733057197,7.21354170192656,5.14559594469866,4.4245862262511,14.7790421635779,8.02382641695791,12.7599505821769,4.8087454219637
"TCGA-A6-5665-01",7.7412579827287,4.30478845649034,14.8273476667154,10.2282535242526,5.87525173160921,4.63945214010361,5.94282177838751,14.2069838060003,7.24374523473398,13.6576199100807,4.3386240819406
"TCGA-A6-6650-01",9.18024733747292,2.16780749549812,16.9868308720383,8.22265002245148,7.42776538336104,6.97269265400426,11.4003404591403,13.3631080936586,10.5596160858127,12.1889071430456,7.79100656098416
"TCGA-A6-6653-01",7.9290512375518,1.32986987231766,16.0533001651963,9.48386614981505,7.00747584866629,3.09914368815104,9.55817195129876,13.7133972556284,9.0101532222146,12.1723056120172,5.45586638333155
"TCGA-A6-6780-01",6.23164936474308,4.56915687102425,15.2104430511922,3.07291183766011,6.10268332372308,9.61379130581798,11.3931651863565,11.2376521441563,6.05960404145128,10.9208887416495,5.79115507257877
"TCGA-A6-A565-01",10.755955769551,7.8811139606751,17.2547702901212,8.3830908006872,9.41667087727392,9.32816776342107,8.20949723068968,11.315019328804,11.2261592775004,10.856892344692,8.15814512368297
"TCGA-AA-3526-01",9.78071527512393,4.40297451727843,15.2339379272615,12.4636010016384,8.73195367723113,8.14791210471544,13.2700368447933,13.1721930829105,8.66822197205731,13.6315067638975,6.77565636725804
"TCGA-AA-3663-01",9.66726769249705,3.29148568597356,14.8644038095534,12.7076524732577,8.06921881032227,6.4011611184641,11.6435631125779,12.4526016117384,8.41611348368928,14.5005307057661,5.55930213344945
"TCGA-AA-3713-01",9.98480293635185,8.30215451729724,17.3421701822526,7.85475620390662,8.55705390652297,10.1360042069441,8.91069369230344,11.5542530790534,10.8114630026905,13.5890307759911,6.76949406777307
"TCGA-AA-A01P-01",12.1433864029674,4.67815080034041,15.1108706843906,11.258683800107,10.9792608373518,13.7015880416181,5.95530815318244,17.6552581796548,13.4730715143075,12.6071615270528,10.0143831913583
"TCGA-AA-A02Y-01",4.71759417682425,2.62011716502868,16.924174597139,14.4835638881251,3.60335929188297,4.24929363016074,10.7991035000277,16.4143532588519,5.7683140291426,12.8735690740245,7.97707953527251
"TCGA-AD-6889-01",8.2702112154834,2.02580841895842,16.1671378123598,12.4042128816022,6.84778399313912,6.38262056842535,9.55978240316756,15.0153845603214,8.23067376493969,9.85205347415613,5.33722939987667
"TCGA-AD-6895-01",11.8739323621638,6.18560295194604,16.4539441674983,9.62172406343151,10.4383968243547,12.7797850053011,9.44823815997318,14.249165315305,12.8522524916044,13.2262074552595,9.2565861227271
"TCGA-AD-6964-01",8.28062695734796,9.52471212515922,15.340865431889,7.98381447977861,9.0225897490401,4.53534381551693,11.0219099621507,12.6208017356771,9.47186823813917,12.5836727975087,6.97800109074357
"TCGA-AM-5820-01",13.7789497946403,6.16954824854787,15.4799065448328,8.6317045526516,12.1048476985314,14.3635256500703,6.37220688438996,11.0813236476068,14.2742398179618,12.7049821641979,11.4781477212995
"TCGA-AU-6004-01",10.7937089675823,4.20883716427805,14.5113696958703,13.9631489607473,9.4829107866707,11.847382346638,3.52295966198722,14.7569471732171,11.9883616061879,12.2257768094593,8.79437362466068
"TCGA-AY-A71X-01",6.04330075436418,3.29857034367261,16.8924360904548,14.0912700818215,4.13140016345195,5.36994102225427,9.55008299298047,12.0595100840655,8.43560359334377,13.0923458745848,6.83761531938913
"TCGA-AZ-4615-01",8.88434760096474,1.52822122907353,15.6423732841839,11.5441337266493,8.56174617392098,6.42283343790202,6.5370164479329,13.133848613138,9.65712726865524,13.2597565020633,5.54520853081682
"TCGA-AZ-4684-01",9.37492427187564,6.16507983864565,16.4830253275747,11.1539129769707,8.20900001522118,8.41371677261071,10.8864282105419,14.0996601194158,10.0149410457206,12.6886808674895,6.05603721227491
